Coin_id,Languages_name,Percentage
pyth-network,Shell,1.0
pyth-network,JavaScript,0.6
pyth-network,CMake,0.5
helium,TypeScript,46.4
helium,Rust,27.3
helium,JavaScript,24.7
helium,Shell,1.0
helium,Dockerfile,0.5
helium,CSS,0.1
neo,C#,100.0
